
1,Time,Displacement,Force
,(s),(mm),(N)
"","11.9800","0.1976","0.1001"
"","12.0000","0.1980","0.1059"
"","12.0200","0.1983","0.0930"
"","12.0400","0.1987","0.1313"
"","12.0600","0.1991","0.0874"
"","12.0800","0.1995","0.0955"
"","12.1000","0.1999","0.1321"
"","12.1200","0.2002","0.1197"
"","12.1400","0.2005","0.0483"
"","12.1600","0.2009","0.0583"
"","12.1800","0.2012","0.0714"
"","12.2000","0.2016","0.0526"
"","12.2200","0.2020","0.0544"
"","12.2400","0.2023","0.1326"
"","12.2600","0.2025","0.1482"
"","12.2800","0.2028","0.1486"
"","12.3000","0.2030","0.2096"
"","12.3200","0.2032","0.1734"
"","12.3400","0.2035","0.1296"
"","12.3600","0.2039","0.0702"
"","12.3800","0.2043","0.0836"
"","12.4000","0.2047","0.0844"
"","12.4200","0.2052","0.0202"
"","12.4400","0.2056","0.1058"
"","12.4600","0.2059","0.0906"
"","12.4800","0.2063","0.1059"
"","12.5000","0.2066","0.0085"
"","12.5200","0.2069","0.0447"
"","12.5400","0.2072","0.1654"
"","12.5600","0.2075","0.1809"
"","12.5800","0.2078","0.1248"
"","12.6000","0.2081","0.0797"
"","12.6200","0.2084","0.0915"
"","12.6400","0.2087","0.1160"
"","12.6600","0.2089","0.0706"
"","12.6800","0.2092","0.0326"
"","12.7000","0.2096","0.0512"
"","12.7200","0.2100","0.0634"
"","12.7400","0.2104","0.0846"
"","12.7600","0.2108","0.1447"
"","12.7800","0.2111","0.1488"
"","12.8000","0.2115","0.1702"
"","12.8200","0.2118","0.0921"
"","12.8400","0.2122","0.0757"
"","12.8600","0.2125","0.1389"
"","12.8800","0.2129","0.1373"
"","12.9000","0.2133","0.0515"
"","12.9200","0.2137","0.0693"
"","12.9400","0.2139","0.0930"
"","12.9600","0.2142","0.1132"
"","12.9800","0.2144","0.0486"
"","13.0000","0.2146","0.0670"
"","13.0200","0.2149","0.0022"
"","13.0400","0.2152","-0.0026"
"","13.0600","0.2156","0.0120"
"","13.0800","0.2160","0.0756"
"","13.1000","0.2165","0.0717"
"","13.1200","0.2169","0.1149"
"","13.1400","0.2173","0.0346"
"","13.1600","0.2176","0.0668"
